chromosome,position,marker_index,beta_tumor,beta_normal,sequence,within_sequence,beta_corrected,state
1,742429,448316,0.496168196201325,0.448667943477631,1,1,0.543077717105106,3
1,788822,915219,0.440013647079468,0.419535040855408,1,6,0.517639829847988,3
1,1145994,622,0.506039798259735,0.511430263519287,1,11,0.494730009500749,3
1,1495898,426550,0.492800712585449,0.501147329807282,1,16,0.49167249157544,3
1,1773061,617162,0.489682793617249,0.507160544395447,1,21,0.482769015678228,3
1,2059541,236432,0.72496235370636,0.69890683889389,1,26,0.543268194330205,3
1,2261924,814126,0.487288296222687,0.48107635974884,1,31,0.505985405165623,3
1,2359358,616593,0.242782682180405,0.353213161230087,1,36,0.343677287299967,3
1,2739781,756516,0.549806535243988,0.572177886962891,1,41,0.480450702282773,3
1,2823192,876115,0.610254943370819,0.600194811820984,1,46,0.512581291898257,3
1,2899231,153303,0.347610175609589,0.342884212732315,1,51,0.503595989450295,3
1,2921187,714263,0.45598378777504,0.499633520841599,1,56,0.456318250031509,3
1,2939927,275247,0.513607859611511,0.486515522003174,1,61,0.526380873005186,3
1,2946526,188752,0.463098168373108,0.441180646419525,1,66,0.519610560920226,3
1,2990784,342766,0.54185289144516,0.487530052661896,1,71,0.553000999439509,3
1,3034041,231759,0.38093575835228,0.366656064987183,1,76,0.511273253421783,3
1,3070800,883021,0.382560670375824,0.300600469112396,1,81,0.558593262966171,3
1,3136357,434353,0.516030728816986,0.565355062484741,1,86,0.456377560810215,3
1,3202806,712507,0.35294970870018,0.404181629419327,1,91,0.436622650573271,3
1,3215617,616986,0.652945876121521,0.63946145772934,1,96,0.518700384024489,3
1,3227034,144127,0.527838349342346,0.510822415351868,1,101,0.517392389312685,3
1,3245968,704792,0.597803950309753,0.565654337406158,1,106,0.537009248246665,3
1,3275010,882471,0.518032670021057,0.557575285434723,1,111,0.464540559412676,3
1,3304456,198489,0.486927479505539,0.509330153465271,1,116,0.478007708941525,3
1,3329199,496351,0.690280735492706,0.681562542915344,1,121,0.513689018649342,3
1,3395156,77688,0.619665086269379,0.518811881542206,1,126,0.604796025565227,3
