model,state,component,weight,mean,sd,self_transition,occupancy
G2,1,1,1,0.496988072053679,0.109382063547752,0.999459776979825,0.599610766810327
G2,2,1,1,0.492231060090061,0.321678050847242,0.999191284894844,0.400389233189673
M21,1,1,0.50153323758039,0.185176553195985,0.108012249196818,0.994282540265616,0.383454450531293
M21,1,2,0.49846676241961,0.801445162792995,0.112837779977396,0.994282540265616,0.383454450531293
M21,2,1,1,0.496773500539902,0.110448220889725,0.996443480225374,0.616545549468707
M221,1,1,0.504892968431202,0.185257495065645,0.10770294429886,0.988001360147266,0.382720799250241
M221,1,2,0.495107031568798,0.805437096023966,0.107938387934536,0.988001360147266,0.382720799250241
M221,2,1,0.500463282222299,0.391700867536998,0.0569039862617583,0.997516703621742,0.492377173700709
M221,2,2,0.499536717777701,0.601255865307883,0.0565047281590108,0.997516703621742,0.492377173700709
M221,3,1,1,0.498456758658825,0.0544422887221709,0.963140779156452,0.124902027049048
G3,1,1,1,0.185287597443038,0.108004864477014,0.502272704361114,0.192538902217086
G3,2,1,1,0.496853938403615,0.110424259361129,0.996607122389577,0.616047123869391
G3,3,1,1,0.801011569665141,0.113303814768456,0.502611124022009,0.191413973913523
G5,1,1,1,0.185265908121624,0.107618897154853,0.502460104152914,0.193332488949371
G5,2,1,1,0.391805006216078,0.056836261037866,0.500848725688858,0.246706529514082
G5,3,1,1,0.601158327744178,0.056510773691777,0.501881326567315,0.246136423349862
G5,4,1,1,0.498503137044271,0.0541904178675538,0.964181803805192,0.12387216855583
G5,5,1,1,0.804869314696974,0.108485565247226,0.494757057834637,0.189952389630862
G4,1,1,1,0.144119013202443,0.0724443044390242,0.465300433063418,0.141157874099251
G4,2,1,1,0.487588777077183,0.209570083413513,0.799043981220742,0.120765083207114
G4,3,1,1,0.497111167370375,0.109261863233888,0.999564876335567,0.597558627074851
G4,4,1,1,0.845456607691613,0.074747769541325,0.463850480122153,0.140518415618778
