"ID","step_index","step_km","log1p_step_km","gaussian_k2_state","gaussian_k3_state","mixture_k2_state","mixture_k2_exploratory_probability"
"elk-115",1,5.5184434399566,1.87463561123356,2,3,2,1
"elk-115",2,1.4165662709524,0.88234763628136,2,2,1,0.310185685373631
"elk-115",3,0.23975247652527,0.214911743985651,1,2,1,2.73172486407416e-06
"elk-115",4,0.432760037434142,0.359602680137361,1,2,1,1.09473544817328e-05
"elk-115",5,0.103754517973918,0.0987175662222578,1,2,1,2.38389696552347e-07
"elk-115",6,12.4164658820455,2.5964827497711,2,3,2,1
"elk-115",7,0.524916183785564,0.42193944709685,1,2,1,0.000248178901653219
"elk-115",8,0.309045708593405,0.269298405029658,1,2,1,2.30291981994045e-06
"elk-115",9,0.30934002327536,0.269523211237248,1,2,1,2.31074362836324e-06
"elk-115",10,0.684547295663346,0.521496860444701,1,2,1,0.000170994513193027
"elk-115",11,0.811066581730501,0.593915943399668,1,2,1,0.00159530370449464
"elk-115",12,1.72551854524951,1.0026587018467,1,2,1,0.27035981000784
"elk-115",13,0.754458912068775,0.562160497168324,1,2,1,0.000944846522468784
"elk-115",14,0.53926802241557,0.431306993310117,1,2,1,3.78027527235405e-05
"elk-115",15,0.930398839208218,0.657726634006611,1,2,1,0.00159537586188474
"elk-115",16,0.629155783570333,0.48806195645963,1,2,1,9.78086514276746e-05
"elk-115",17,0.598461569359303,0.469041647539233,1,2,1,7.10745538881352e-05
"elk-115",18,0.930696647678501,0.657880895133737,1,2,1,0.00160389190344895
"elk-115",19,0.793378220018674,0.584101114942535,1,2,1,0.000482861126220173
"elk-115",20,0.502159586187499,0.406903796824069,1,2,1,2.4636217016281e-05
"elk-115",21,0.323882694814033,0.280568854506629,1,2,1,2.8002659203828e-06
"elk-115",22,0.659628114925372,0.50659355011723,1,2,1,0.000131896052547676
"elk-115",23,0.241747802471915,0.216519905301252,1,2,1,9.03104263109491e-07
"elk-115",24,0.41271206670026,0.345511308486218,1,2,1,8.59579790851397e-06
"elk-115",25,0.467183315198649,0.383344450589706,1,2,1,1.64622578990041e-05
"elk-115",26,0.720741978796851,0.542755580827881,1,2,1,0.000240969693455329
"elk-115",27,0.208165799304305,0.189103341174278,1,2,1,5.27565322100997e-07
"elk-115",28,0.535474555884778,0.428839490188199,1,2,1,3.56347678461881e-05
"elk-115",29,0.236087377892169,0.211951050624305,1,2,1,8.32578479946703e-07
"elk-115",30,0.820324478483972,0.599014770079146,1,2,1,0.000610548124004348
"elk-115",31,0.485585213942929,0.395808778087421,1,2,1,2.04389662503111e-05
"elk-115",32,0.693796980391238,0.526972742761559,1,2,1,0.000186676915226211
"elk-115",33,0.861857441808099,0.621574614059257,1,2,1,0.001058849762684
"elk-115",34,1.30652831963184,0.835743502124555,1,2,1,0.0289657530321781
"elk-115",35,1.17329717037075,0.776245447732052,1,2,1,0.0125962237709061
"elk-115",36,0.188090403795622,0.17234731551625,1,2,1,3.87223495251639e-07
"elk-115",37,0.289558284288328,0.254299744455717,1,2,1,1.76937339001113e-06
"elk-115",38,0.496632661028249,0.403217691911392,1,2,1,2.3062331429953e-05
"elk-115",39,0.0347131099154196,0.0341241998059857,1,2,1,5.50542671784372e-09
"elk-115",40,0.626081464347891,0.486173110945566,1,2,1,9.45691527298132e-05
"elk-115",41,0.912561367799448,0.648443373942027,1,2,1,0.00137138598358048
"elk-115",42,0.044407206622349,0.043449458070226,1,2,1,6.58064296628535e-09
"elk-115",43,0.355953999837058,0.304505265518793,1,2,1,4.23700951646142e-06
"elk-115",44,0.245814971065637,0.219789910996106,1,2,1,9.83106476702248e-07
"elk-115",45,1.0356482269574,0.710814307217172,1,2,1,0.00383750514101427
"elk-115",46,1.01072857385156,0.698497130945967,1,2,1,0.00316197037282465
"elk-115",47,0.0842570471830102,0.0808950033045706,1,2,1,1.72916626840225e-08
"elk-115",48,0.514748725107698,0.41524956719065,1,2,1,2.83824074124593e-05
"elk-115",49,0.784796948261141,0.57930465428552,1,2,1,0.000441347631069043
"elk-115",50,0.374750917277063,0.31827256363747,1,2,1,5.39188521633612e-06
"elk-115",51,0.299708191412914,0.262139771126834,1,2,1,2.12580647024621e-06
"elk-115",52,1.11592293640735,0.749491093865622,1,2,1,0.0069742726799796
"elk-115",53,0.0820548596976438,0.078861881262496,1,2,1,1.66595295815139e-08
"elk-115",54,0.109553639829994,0.103957808170504,1,2,1,3.66053548746359e-08
"elk-115",55,0.175137089161605,0.161384812417415,1,2,1,2.65281190077714e-07
