"ID","step_index","step_km","log1p_step_km"
"elk-115",1,5.5184434399566,1.87463561123356
"elk-115",2,1.4165662709524,0.88234763628136
"elk-115",3,0.23975247652527,0.214911743985651
"elk-115",4,0.432760037434142,0.359602680137361
"elk-115",5,0.103754517973918,0.0987175662222578
"elk-115",6,12.4164658820455,2.5964827497711
"elk-115",7,0.524916183785564,0.42193944709685
"elk-115",8,0.309045708593405,0.269298405029658
"elk-115",9,0.30934002327536,0.269523211237248
"elk-115",10,0.684547295663346,0.521496860444701
"elk-115",11,0.811066581730501,0.593915943399668
"elk-115",12,1.72551854524951,1.0026587018467
"elk-115",13,0.754458912068775,0.562160497168324
"elk-115",14,0.53926802241557,0.431306993310117
"elk-115",15,0.930398839208218,0.657726634006611
"elk-115",16,0.629155783570333,0.48806195645963
"elk-115",17,0.598461569359303,0.469041647539233
"elk-115",18,0.930696647678501,0.657880895133737
"elk-115",19,0.793378220018674,0.584101114942535
"elk-115",20,0.502159586187499,0.406903796824069
"elk-115",21,0.323882694814033,0.280568854506629
"elk-115",22,0.659628114925372,0.50659355011723
"elk-115",23,0.241747802471915,0.216519905301252
"elk-115",24,0.41271206670026,0.345511308486218
"elk-115",25,0.467183315198649,0.383344450589706
"elk-115",26,0.720741978796851,0.542755580827881
"elk-115",27,0.208165799304305,0.189103341174278
"elk-115",28,0.535474555884778,0.428839490188199
"elk-115",29,0.236087377892169,0.211951050624305
"elk-115",30,0.820324478483972,0.599014770079146
"elk-115",31,0.485585213942929,0.395808778087421
"elk-115",32,0.693796980391238,0.526972742761559
"elk-115",33,0.861857441808099,0.621574614059257
"elk-115",34,1.30652831963184,0.835743502124555
"elk-115",35,1.17329717037075,0.776245447732052
"elk-115",36,0.188090403795622,0.17234731551625
"elk-115",37,0.289558284288328,0.254299744455717
"elk-115",38,0.496632661028249,0.403217691911392
"elk-115",39,0.0347131099154196,0.0341241998059857
"elk-115",40,0.626081464347891,0.486173110945566
"elk-115",41,0.912561367799448,0.648443373942027
"elk-115",42,0.044407206622349,0.043449458070226
"elk-115",43,0.355953999837058,0.304505265518793
"elk-115",44,0.245814971065637,0.219789910996106
"elk-115",45,1.0356482269574,0.710814307217172
"elk-115",46,1.01072857385156,0.698497130945967
"elk-115",47,0.0842570471830102,0.0808950033045706
"elk-115",48,0.514748725107698,0.41524956719065
"elk-115",49,0.784796948261141,0.57930465428552
"elk-115",50,0.374750917277063,0.31827256363747
"elk-115",51,0.299708191412914,0.262139771126834
"elk-115",52,1.11592293640735,0.749491093865622
"elk-115",53,0.0820548596976438,0.078861881262496
"elk-115",54,0.109553639829994,0.103957808170504
"elk-115",55,0.175137089161605,0.161384812417415
"elk-115",56,0.125738816600126,0.118439545973096
"elk-115",57,0.593384361101639,0.465860283118448
"elk-115",58,0.45530017570829,0.375212185673954
"elk-115",59,0.1625,0.150572858479374
"elk-115",60,0.120739388767709,0.113988636034206
"elk-115",61,0.211151604303638,0.191571646086073
"elk-115",62,1.96148132797638,1.08568959179398
"elk-115",63,2.58257511991423,1.27608184907376
"elk-115",64,0.074908277246243,0.0722353344475029
"elk-115",65,0.409201967248448,0.343023563487695
"elk-115",66,2.39933657497234,1.22358028757462
"elk-115",67,1.04999297616698,0.717836366884439
"elk-115",68,1.11554336536058,0.749311689838402
"elk-115",69,0.0156923548264752,0.0155705029353598
"elk-115",70,0.290146514712826,0.254755789220932
"elk-115",71,6.8143451629632,2.0559611680355
"elk-115",72,7.74647823207424,2.16865113158664
"elk-115",73,0.460434577328854,0.378734047134269
"elk-115",74,0.668006736492979,0.511629342593255
"elk-115",75,0.280855834904671,0.247528475523353
"elk-115",76,0.225998340701873,0.203755484088857
"elk-115",77,0.0416293165929973,0.0407861378066883
"elk-115",78,0.0206155281280883,0.0204059042371535
"elk-115",79,0.0097082439194738,0.00966142171648071
"elk-115",80,0.0244182308941496,0.0241248718406238
"elk-115",81,0.00509901951359278,0.00508606353678171
"elk-115",82,1.88536634371148,1.05965187412085
"elk-115",83,14.0680790444183,2.71257853566275
"elk-115",84,0.548003649622884,0.436966132802278
"elk-115",85,0.0631446751515914,0.0612311909000579
"elk-115",86,0.875128561983895,0.628677223463217
"elk-115",87,0.913057500927516,0.648702747992539
"elk-115",88,1.0705765969794,0.727827117755046
"elk-115",89,2.1769750228241,1.15592949338178
"elk-115",90,0.42064385173208,0.351110185563606
"elk-115",91,1.55585667720391,0.938387461861723
"elk-115",92,2.47440725225255,1.24542388957585
"elk-115",93,0.540283490401104,0.431966484160075
"elk-115",94,0.075823808925693,0.0730867019801087
"elk-115",95,0.65779043015234,0.505485649539698
"elk-115",96,2.8425288037239,1.34613069249202
"elk-115",97,0.619932455998232,0.482384454546829
"elk-115",98,0.536553818363079,0.429542128569895
"elk-115",99,3.20539498346148,1.43636822087125
"elk-115",100,0.0449444101084885,0.0439636879333812
"elk-115",101,10.6512633992405,2.45541462041857
"elk-115",102,0.0930228466560769,0.0889471116804965
"elk-115",103,2.25460417812085,1.18007066400219
"elk-115",104,0.0457083143421413,0.0446944685730495
"elk-115",105,0.0431740662898458,0.042268052113073
